date2,unixtime,adm0_a3,nyt_name,lat,lon,jhu_location,jhu_sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,override_fixed,mobile_table_name,world_map_label_name,world_map_label,world_map_label_desktop_only,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,label,confirmed,deaths,recovered
Mon Mar  9 13:50:22 PDT 2020,1583787022,AUS,Australia,-25.274,133.775,Australia,,True,True,True,,JHU issue,76,,0001-03-08,,Australia,Australia,True,True,,,,,,,Australia,78,3,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,DNK,Denmark,56.264,9.502,Denmark,,True,True,True,,,,,,,Denmark,Denmark,,,,,,,,,Denmark,90,0,1
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,43.85,126.5,Mainland China,Jilin,True,,,,,,,,,,,,,,,,,,,Jilin (Mainland China),93,1,91
Mon Mar  9 13:50:22 PDT 2020,1583787022,BHR,Bahrain,25.93,50.638,Bahrain,,True,True,True,,,,,,,Bahrain,Bahrain,,,,,,,,,Bahrain,95,0,14
Mon Mar  9 13:50:22 PDT 2020,1583787022,HKG,Hong Kong,22.396,114.109,Hong Kong,Hong Kong,True,True,False,1,,,,,,Hong Kong,Hong Kong,,,,,,,,,Hong Kong (Hong Kong),115,3,59
Mon Mar  9 13:50:22 PDT 2020,1583787022,MYS,Malaysia,4.21,101.976,Malaysia,,True,True,True,,,,,,,Malaysia,Malaysia,,,right,True,,,,,Malaysia,117,0,24
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,40.39,96.81,Mainland China,Gansu,True,,,,,,,,,,,,,,,,,,,Gansu (Mainland China),124,2,88
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,41.3,121.9,Mainland China,Liaoning,True,,,,,,,,,,,,,,,,,,,Liaoning (Mainland China),125,1,109
Mon Mar  9 13:50:22 PDT 2020,1583787022,AUT,Austria,47.516,14.55,Austria,,True,True,True,,,,,,,Austria,Austria,,,,,,,,,Austria,131,0,2
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,37.64,110.15,Mainland China,Shanxi,True,,,,,,,,,,,,,,,,,,,Shanxi (Mainland China),133,0,127
